cohort,wave,year,primary_horizon_eligible
CHARLS,1,2011,TRUE
CHARLS,2,2013,TRUE
CHARLS,3,2015,TRUE
CHARLS,4,2018,TRUE
HRS,1,1992,TRUE
HRS,2,1994,TRUE
HRS,3,1996,TRUE
HRS,4,1998,TRUE
HRS,5,2000,TRUE
HRS,6,2002,TRUE
HRS,7,2004,TRUE
HRS,8,2006,TRUE
HRS,9,2008,TRUE
HRS,10,2010,TRUE
HRS,11,2012,TRUE
HRS,12,2014,TRUE
HRS,13,2016,TRUE
HRS,14,2018,TRUE
HRS,15,2020,TRUE
HRS,16,2022,TRUE
ELSA,1,2002,TRUE
ELSA,2,2004,TRUE
ELSA,3,2006,TRUE
ELSA,4,2008,TRUE
ELSA,5,2010,TRUE
ELSA,6,2012,TRUE
ELSA,7,2014,TRUE
ELSA,8,2016,TRUE
ELSA,9,2018,TRUE
ELSA,10,2021,TRUE
MHAS,1,2001,TRUE
MHAS,2,2003,FALSE
MHAS,3,2012,FALSE
MHAS,4,2015,TRUE
MHAS,5,2018,TRUE
MHAS,6,2021,TRUE
